dog,chien
wolf,loup
people,personnes
history,l'histoire
way,façon
art,art
world,monde
information,information
map,carte
two,deux
family,famille
government,gouvernement
health,santé
system,système
computer,ordinateur
meat,moi à
year,année
thanks,Merci
music,la musique
person,la personne
reading,en train de lire
method,méthode
data,Les données
food,aliments
understanding,compréhension
theory,théorie
law,loi
bird,oiseau
literature,Littérature
problem,problème
software,Logiciel
control,contrôle
knowledge,connaissance
power,Puissance
ability,aptitude
economics,économie
love,amour
internet,l'Internet
television,télévision
science,science
library,bibliothèque
nature,la nature
fact,fait
product,produit
idea,idée
temperature,Température
investment,investissement
area,surface
society,société
activity,activité
story,récit
industry,industrie
media,médias
thing,chose
oven,four
community,communauté
definition,définition
safety,sécurité
quality,qualité
development,développement
language,la langue
management,la gestion
player,joueur
variety,variété
video,vidéo
week,la semaine
security,Sécurité
country,pays
exam,examen
movie,film
organization,organisation
equipment,équipement
physics,la physique
analysis,une analyse
policy,politique
series,séries
thought,pensée
basis,base
boyfriend,copain
direction,direction
strategy,stratégie
technology,La technologie
army,armée
camera,caméra
freedom,liberté
paper,papier
environment,environnement
child,enfant
instance,exemple
month,mois
truth,vérité
marketing,commercialisation
university,Université
writing,l'écriture
article,article
department,département
difference,différence
goal,objectif
news,nouvelles
audience,public
fishing,pêche
growth,croissance
income,le revenu
marriage,mariage
user,utilisateur
combination,combinaison
failure,échec
meaning,sens
medicine,médicament
philosophy,philosophie
teacher,prof
communication,la communication
night,nuit
chemistry,chimie
disease,maladie
disk,disque
energy,énergie
nation,nation
road,route
role,rôle
soup,soupe
advertising,La publicité
location,emplacement
success,Succès
addition,une addition
apartment,appartement
education,éducation
math,math
moment,moment
painting,La peinture
politics,politique
attention,attention
decision,décision
event,un événement
property,propriété
shopping,achats
student,étudiant
wood,bois
competition,concurrence
distribution,Distribution
entertainment,divertissement
office,Bureau
population,population
president,Président
unit,unité
category,Catégorie
cigarette,cigarette
context,le contexte
introduction,introduction
opportunity,opportunité
performance,performance
driver,chauffeur
flight,vol
length,longueur
magazine,magazine
newspaper,journal
relationship,relation
teaching,enseignement
cell,cellule
dealer,Marchand
finding,découverte
lake,Lac
member,membre
message,message
phone,téléphone
scene,scène
appearance,apparence
association,association
concept,concept
customer,client
death,mort
discussion,discussion
housing,logement
inflation,inflation
insurance,Assurance
mood,ambiance
woman,femme
advice,Conseil
blood,du sang
effort,effort
expression,expression
importance,importance
opinion,opinion
payment,Paiement
reality,réalité
responsibility,responsabilité
situation,situation
skill,compétence
statement,déclaration
wealth,richesse
application,application
city,ville
county,comté
depth,profondeur
estate,biens
foundation,fondation
grandmother,grand-mère
heart,cœur
