dog,狗
wolf,狼
people,人
history,历史
way,办法
art,艺术
world,世界
information,信息
map,地图
two,二
family,家庭
government,政府
health,健康
system,系统
computer,电脑
meat,肉
year,年
thanks,谢谢
music,音乐
person,人
reading,读
method,方法
data,数据
food,餐饮
understanding,理解
theory,理论
law,法
bird,鸟
literature,文献
problem,问题
software,软件
control,控制
knowledge,知识
power,功率
ability,能力
economics,经济学
love,爱
internet,互联网
television,电视
science,科学
library,图书馆
nature,性质
fact,事实
product,产品
idea,理念
temperature,温度
investment,投资
area,区域
society,社会
activity,活动
story,故事
industry,行业
media,媒体
thing,事情
oven,烤箱
community,社区
definition,定义
safety,安全
quality,质量
development,发展
language,语言
management,管理
player,播放机
variety,品种
video,视频
week,周
security,安全
country,国家
exam,考试
movie,电影
organization,组织
equipment,设备
physics,物理
analysis,分析
policy,政策
series,系列
thought,思想
basis,基础
boyfriend,男朋友
direction,方向
strategy,战略
technology,技术
army,军队
camera,相机
freedom,自由
paper,纸
environment,环境
child,儿童
instance,例
month,月
truth,真相
marketing,营销
university,大学
writing,写作
article,文章
department,部门
difference,区别
goal,目标
news,新闻
audience,听众
fishing,钓鱼
growth,发展
income,收入
marriage,婚姻
user,用户
combination,组合
failure,失败
meaning,含义
medicine,医学
philosophy,哲学
teacher,老师
communication,通讯
night,晚
chemistry,化学
disease,疾病
disk,磁盘
energy,能源
nation,国家
road,路
role,角色
soup,汤
advertising,广告
location,地点
success,成功
addition,加成
apartment,公寓
education,教育
math,数学
moment,时刻
painting,绘画
politics,政治
attention,注意
decision,决定
event,事件
property,属性
shopping,购物
student,学生
wood,木
competition,竞争
distribution,分配
entertainment,娱乐
office,办公室
population,人口
president,主席
unit,单元
category,类别
cigarette,香烟
context,上下文
introduction,介绍
opportunity,机会
performance,性能
driver,司机
flight,飞行
length,长度
magazine,杂志
newspaper,报纸
relationship,关系
teaching,教学
cell,细胞
dealer,零售商
finding,发现
lake,湖
member,会员
message,信息
phone,电话
scene,现场
appearance,出现
association,协会
concept,概念
customer,顾客
death,死亡
discussion,讨论
housing,住房
inflation,通货膨胀
insurance,保险
mood,心情
woman,女人
advice,忠告
blood,血液
effort,功夫
expression,表达
importance,重要性
opinion,意见
payment,付款
reality,现实
responsibility,责任
situation,情况
skill,技能
statement,声明
wealth,财富
application,应用
city,市
county,县
depth,深度
estate,房地产
foundation,基础
grandmother,祖母
heart,心
perspective,透视
photo,照片
recipe,食谱
studio,工作室
topic,话题
collection,采集
depression,萧条
imagination,想像力
passion,情
percentage,百分比
resource,资源
setting,设置
ad,广告
agency,机构
college,学院
connection,连接
criticism,批评
debt,债务
description,描述
memory,记忆
patience,忍耐
secretary,秘书
solution,解
administration,管理
aspect,方面
attitude,态度
director,导向器
personality,个性
psychology,心理学
recommendation,建议
response,响应
selection,选择
storage,存储
version,版
alcohol,醇
argument,争论
complaint,抱怨
contract,合同
emphasis,重点
highway,高速公路
loss,失利
membership,籍
possession,所有权
preparation,制备
steak,牛扒
union,联盟
agreement,协议
cancer,癌症
currency,货币
employment,雇用
engineering,工程
entry,条目
interaction,相互作用
mixture,混合物
preference,偏爱
region,区域
republic,共和国
tradition,传统
virus,病毒
actor,演员
classroom,课堂
delivery,交货
device,设备
difficulty,困难
drama,戏剧
election,选举
engine,发动机
football,足球
guidance,指导
hotel,旅馆
owner,所有者
priority,优先
protection,保护
suggestion,建议
tension,张力
variation,变异
anxiety,焦虑
atmosphere,大气层
awareness,意识
bath,浴
bread,面包
candidate,候选人
climate,气候
comparison,对照
confusion,混乱
construction,施工
elevator,电梯
emotion,情感
employee,雇员
employer,雇主
guest,客人
height,高度
leadership,领导
mall,购物中心
manager,经理
operation,手术
recording,记录
sample,样品
transportation,运输
charity,慈善机构
cousin,表姐
disaster,灾害
editor,编辑
efficiency,效率
excitement,激动
extent,程度
feedback,反馈
guitar,吉他
homework,家庭作业
leader,领导
mom,妈妈
outcome,结果
permission,允许
presentation,介绍
promotion,提升
reflection,反射
refrigerator,冰箱
resolution,解析度
revenue,收入
session,会议
singer,歌手
tennis,网球
basket,篮
bonus,奖金
cabinet,内阁
childhood,童年
church,教会
clothes,衣服
coffee,咖啡
dinner,晚餐
drawing,画画
hair,头发
hearing,听力
initiative,倡议
judgment,判断
lab,实验室
measurement,测量
mode,模式
mud,泥
orange,橙子
poetry,诗歌
police,警察
possibility,可能性
procedure,程序
queen,女王
ratio,比
relation,关系
restaurant,餐厅
satisfaction,满足
sector,扇形
signature,签名
significance,意义
song,歌曲
tooth,齿
town,镇
vehicle,车辆
volume,体积
wife,妻子
accident,事故
airport,飞机场
appointment,约定
arrival,到达
assumption,假设
baseball,棒球
chapter,章节
committee,委员会
conversation,会话
database,数据库
enthusiasm,热情
error,错误
explanation,说明
farmer,农民
gate,门
girl,女孩
hall,大厅
historian,历史学家
hospital,医院
injury,伤
instruction,指令
maintenance,保养
manufacturer,生产厂家
meal,膳食
perception,知觉
pie,馅饼
poem,诗
presence,存在
proposal,提案
reception,招待会
replacement,替换
revolution,革命
river,河
son,儿子
speech,言语
tea,茶
village,村
warning,警告
winner,优胜者
worker,工人
