writer,作家
assistance,帮助
breath,呼吸
buyer,买方
chest,胸部
chocolate,巧克力
conclusion,结论
contribution,贡献
cookie,曲奇饼
courage,勇气
dad,爸
desk,台
drawer,抽屉
establishment,编制
examination,检查
garbage,垃圾
grocery,杂货
honey,蜜糖
impression,印象
improvement,起色
independence,独立
insect,昆虫
inspection,检查
inspector,检查员
king,王
ladder,阶梯
menu,菜单
penalty,罚款
piano,钢琴
potato,土豆
profession,职业
professor,教授
quantity,数量
reaction,反应
requirement,需求
salad,沙拉
sister,妹妹
supermarket,超级市场
tongue,舌
weakness,弱点
wedding,婚礼
affair,事务
ambition,志向
analyst,分析人士
apple,苹果
assignment,分配
assistant,助理
bathroom,浴室
bedroom,卧室
beer,啤酒
birthday,生日
celebration,庆典
championship,锦标赛
cheek,脸颊
client,客户
consequence,后果
departure,出发
diamond,钻石
dirt,污垢
ear,耳
fortune,幸运
friendship,友谊
funeral,葬礼
gene,基因
girlfriend,女朋友
hat,帽子
indication,迹象
intention,意向
lady,淑女
midnight,午夜
negotiation,谈判
obligation,义务
passenger,乘客
pizza,比萨
platform,平台
poet,诗人
pollution,污染
recognition,承认
reputation,声誉
shirt,衬衫
sir,先生
speaker,扬声器
stranger,陌生人
surgery,手术
sympathy,同情
tale,故事
throat,喉
trainer,训练者
uncle,叔叔
youth,青年
time,时间
work,工作
film,电影
water,水
money,钱
example,例
while,而
business,商业
study,研究
game,游戏
life,生活
form,形成
air,空气
day,天
place,地点
number,数
part,部分
field,领域
fish,鱼
back,背部
process,处理
heat,热
hand,手
experience,经验
job,工作
book,书
end,结束
point,点
type,类型
home,家
economy,经济
value,值
body,身体
market,市场
guide,指南
interest,利益
state,州
radio,无线电
course,课程
company,公司
price,价钱
size,尺寸
card,卡
list,名单
mind,心神
trade,贸易
line,线
care,关心
group,组
risk,风险
word,字
fat,脂肪
force,力
key,键
light,光
training,训练
name,名称
school,学校
top,最佳
amount,量
level,水平
order,订购
practice,实践
research,研究
sense,感
service,服务
piece,片
web,卷筒纸
boss,老板
sport,运动
fun,开玩笑
house,屋
page,页
term,术语
test,测试
answer,回答
sound,声音
focus,焦点
matter,物
kind,类
soil,泥
board,板
oil,油
picture,图片
access,访问
garden,花园
range,范围
rate,率
reason,原因
future,未来
site,现场
demand,需求
exercise,行使
image,图片
case,案件
cause,原因
coast,滨
action,行动
age,年龄
bad,坏
boat,船
record,记录
result,结果
section,部分
building,建造
mouse,老鼠
cash,现金
class,类
nothing,没有
period,期
plan,计划
store,商店
tax,税
side,侧
subject,学科
space,空间
rule,规则
stock,股票
