writer,écrivain
assistance,assistance
breath,souffle
buyer,acheteur
chest,poitrine
chocolate,Chocolat
conclusion,conclusion
contribution,contribution
cookie,biscuit
courage,courage
dad,papa
desk,bureau
drawer,tiroir
establishment,établissement
examination,examen
garbage,des ordures
grocery,épicerie
honey,mon chéri
impression,impression
improvement,amélioration
independence,indépendance
insect,insecte
inspection,inspection
inspector,inspecteur
king,Roi
ladder,échelle
menu,menu
penalty,peine
piano,piano
potato,Patate
profession,profession
professor,professeur
quantity,quantité
reaction,réaction
requirement,exigence
salad,salade
sister,sœur
supermarket,supermarché
tongue,langue
weakness,la faiblesse
wedding,mariage
affair,affaire
ambition,ambition
analyst,analyste
apple,Pomme
assignment,affectation
assistant,assistant
bathroom,salle de bains
bedroom,chambre
beer,Bière
birthday,anniversaire
celebration,fête
championship,championnat
cheek,joue
client,client
consequence,conséquence
departure,Départ
diamond,diamant
dirt,saleté
ear,oreille
fortune,fortune
friendship,relation amicale
funeral,funéraire
gene,gène
girlfriend,petite amie
hat,chapeau
indication,indication
intention,intention
lady,Dame
midnight,minuit
negotiation,négociation
obligation,obligation
passenger,passager
pizza,Pizza
platform,Plate-forme
poet,poète
pollution,la pollution
recognition,reconnaissance
reputation,réputation
shirt,chemise
sir,Monsieur
speaker,orateur
stranger,étranger
surgery,chirurgie
sympathy,la sympathie
tale,conte
throat,gorge
trainer,entraîneur
uncle,oncle
youth,jeunesse
time,temps
work,travail
film,film
water,eau
money,argent
example,Exemple
while,tandis que
business,affaires
study,étude
game,Jeu
life,la vie
form,forme
air,air
day,journée
place,endroit
number,nombre
part,partie
field,champ
fish,poisson
back,retour
process,processus
heat,chaleur
hand,main
experience,expérience
job,emploi
book,livre
end,fin
point,point
type,type
home,maison
economy,économie
value,valeur
body,corps
market,marché
guide,guider
interest,intérêt
state,Etat
radio,radio
course,cours
company,entreprise
price,prix
size,Taille
card,carte
list,liste
mind,esprit
trade,Commerce
line,ligne
care,se soucier
group,groupe
risk,risque
word,mot
fat,graisse
force,Obliger
key,clé
light,lumière
training,entraînement
name,prénom
school,école
top,Haut
amount,montant
level,niveau
order,ordre
practice,entraine toi
research,recherche
sense,sens
service,un service
piece,pièce
web,le web
boss,patron
sport,sport
fun,amusement
house,maison
page,page
term,terme
test,tester
answer,réponse
sound,du son
focus,concentrer
matter,matière
kind,gentil
soil,sol
board,planche
oil,pétrole
picture,image
access,accès
garden,jardin
range,intervalle
rate,taux
reason,raison
future,futur
site,site
demand,demande
exercise,exercice
image,image
case,Cas
cause,cause
coast,côte
action,action
age,âge
bad,mal
boat,bateau
record,record
result,résultat
section,section
building,bâtiment
mouse,Souris
cash,en espèces
class,classe
nothing,rien
period,période
plan,plan
store,le magasin
tax,impôt
side,côté
subject,assujettir
space,espace
rule,règle
stock,Stock
